PartCondition,AircraftTotalTime
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,11809.0
CORRODED,10569.0
CORRODED,10569.0
CORRODED,10569.0
CORRODED,10569.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,10569.0
CORRODED,10569.0
CORRODED,10569.0
CORRODED,10569.0
CORRODED,13081.0
CORRODED,18072.0
CORRODED,142928.0
CORRODED,27917.0
CORRODED,27917.0
CORRODED,27917.0
CORRODED,23058.0
CORRODED,27917.0
CRACKED,57980.0
CRACKED,57980.0
CRACKED,71177.0
CRACKED,37218.0
CRACKED,50318.0
CRACKED,80231.0
CRACKED,84487.0
CRACKED,84487.0
CRACKED,84487.0
CRACKED,84557.0
CORRODED,74346.0
CORRODED,74346.0
CORRODED,74346.0
CORRODED,52166.0
CRACKED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CRACKED,57980.0
CORRODED,57980.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,52166.0
CORRODED,27158.0
CORRODED,27158.0
CORRODED,27158.0
CORRODED,27158.0
CORRODED,27158.0
CRACKED,27158.0
CRACKED,59741.0
CRACKED,59725.0
CRACKED,30377.0
CRACKED,30377.0
CRACKED,71926.0
CRACKED,27106.0
CRACKED,27106.0
CRACKED,71926.0
CORRODED,27106.0
CORRODED,27106.0
CRACKED,13402.0
CORRODED,27106.0
CORRODED,76986.0
CRACKED,118382.0
CORRODED,76986.0
CORRODED,76986.0
CRACKED,60253.0
CORRODED,60253.0
CRACKED,31865.0
CRACKED,31865.0
CRACKED,58618.0
CORRODED,55749.0
CORRODED,58618.0
CORRODED,27917.0
CORRODED,71860.0
CRACKED,18063.0
CRACKED,71860.0
CRACKED,71860.0
CORRODED,23475.0
CRACKED,34364.0
CRACKED,34364.0
CRACKED,34364.0
CORRODED,34364.0
CORRODED,13090.0
CORRODED,13090.0
CORRODED,13090.0
CORRODED,13090.0
CORRODED,13090.0
CORRODED,13090.0
CORRODED,10577.0
CORRODED,13090.0
CORRODED,10577.0
CORRODED,13090.0
CORRODED,13090.0
CORRODED,10577.0
CORRODED,13090.0
CORRODED,10577.0
CORRODED,10577.0
CORRODED,10577.0
CORRODED,10577.0
CORRODED,10577.0
CORRODED,10577.0
CORRODED,10577.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CRACKED,34364.0
CORRODED,34364.0
CRACKED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CRACKED,31.0
CRACKED,31.0
CRACKED,40841.0
CRACKED,40841.0
CORRODED,40841.0
CRACKED,40841.0
CORRODED,40841.0
CRACKED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CRACKED,70974.0
CORRODED,57061.0
CORRODED,57061.0
CORRODED,57061.0
CORRODED,76090.0
CORRODED,57061.0
CORRODED,70974.0
CORRODED,35293.0
CRACKED,26752.0
CORRODED,26752.0
CRACKED,40841.0
CORRODED,40841.0
CORRODED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CORRODED,40841.0
CORRODED,40841.0
CORRODED,45570.0
CORRODED,45570.0
CORRODED,45570.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,41970.0
CRACKED,41482.0
CORRODED,18585.0
CORRODED,18585.0
CORRODED,18585.0
CORRODED,18585.0
CORRODED,18585.0
CORRODED,18585.0
CORRODED,80231.0
CRACKED,18388.0
CRACKED,18388.0
CORRODED,35293.0
CRACKED,108189.0
CRACKED,108189.0
CORRODED,20655.0
CRACKED,44434.0
CRACKED,65073.0
CRACKED,44434.0
CRACKED,71691.0
CORRODED,59262.0
CORRODED,59262.0
CORRODED,59262.0
CORRODED,59262.0
CORRODED,59262.0
CORRODED,59262.0
CRACKED,45570.0
CRACKED,59262.0
CRACKED,59262.0
CRACKED,59262.0
CRACKED,59262.0
CRACKED,59262.0
CRACKED,59262.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CRACKED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,64393.0
CORRODED,64393.0
CORRODED,58618.0
CRACKED,35436.0
CORRODED,78316.0
CRACKED,70724.0
CORRODED,126187.0
CORRODED,78316.0
CRACKED,103452.0
CRACKED,61202.0
CRACKED,18072.0
CORRODED,60395.0
CORRODED,34364.0
CORRODED,34364.0
CRACKED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,34364.0
CORRODED,70783.0
CORRODED,70783.0
CORRODED,106961.0
CORRODED,106961.0
CORRODED,106961.0
CORRODED,106961.0
CORRODED,106961.0
CRACKED,33689.0
CRACKED,33689.0
CRACKED,33689.0
CRACKED,10067.0
CORRODED,60395.0
CORRODED,60395.0
CRACKED,35472.0
CRACKED,24132.0
CRACKED,26752.0
CRACKED,26752.0
CRACKED,26752.0
CRACKED,26752.0
CRACKED,26752.0
CRACKED,26752.0
CRACKED,33965.0
CRACKED,33965.0
CRACKED,33965.0
CRACKED,7143.0
CRACKED,7333.0
CORRODED,40595.0
CRACKED,41482.0
CRACKED,41482.0
CRACKED,47436.0
CORRODED,13555.0
CRACKED,71691.0
CRACKED,65073.0
CRACKED,52049.0
CRACKED,63746.0
CORRODED,57980.0
CORRODED,9295.0
CORRODED,23475.0
CRACKED,71860.0
CRACKED,71860.0
CRACKED,68942.0
CRACKED,54469.0
CRACKED,55749.0
CRACKED,42771.0
CRACKED,42771.0
CORRODED,58618.0
CRACKED,58618.0
CORRODED,56120.0
CORRODED,9295.0
CRACKED,77852.0
CRACKED,76090.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,10677.0
CORRODED,52374.0
CORRODED,64393.0
CRACKED,64393.0
CORRODED,60253.0
CORRODED,70974.0
CORRODED,57061.0
CRACKED,36697.0
CRACKED,25664.0
CRACKED,26752.0
CRACKED,26752.0
CORRODED,26752.0
